Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,Variant Inventory Policy,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text
pilot-programs-tee-black,Pilot Programs Tee - Black,Pilot Programs Tee in black. Front/back artwork shown on the product preview.,Geronimo Records,Tee,tees,event-drops,TRUE,Color,Black,PPTB-001,20,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/pilot-programs/tee-black-front.png,Pilot Programs Tee - Black front
pilot-programs-tee-white,Pilot Programs Tee - White,Pilot Programs Tee in white. Front/back artwork shown on the product preview.,Geronimo Records,Tee,tees,event-drops,TRUE,Color,White,PPTW-001,20,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/pilot-programs/tee-white-front.png,Pilot Programs Tee - White front
new-beginnings-tee-blue,New Beginnings Tee - Blue,New Beginnings Tee in blue. Front/back artwork shown on the product preview.,Geronimo Records,Tee,tees,event-drops,TRUE,Color,Blue,NBTB-001,20,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/new-beginnings/tee-blue-front.png,New Beginnings Tee - Blue front
new-beginnings-tee-white,New Beginnings Tee - White,New Beginnings Tee in white. Front/back artwork shown on the product preview.,Geronimo Records,Tee,tees,event-drops,TRUE,Color,White,NBTW-001,20,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/new-beginnings/tee-white-front.png,New Beginnings Tee - White front
geronimo-short-film-festival-tee,Geronimo Short Film Festival 2026 Tee,Geronimo Short Film Festival 2026 official tee. Event merch preview product.,Geronimo Records,Tee,tees,event-drops,TRUE,Color,Black,GSFFT-001,20,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/short-film-festival/tee-front.png,Geronimo Short Film Festival 2026 Tee
pilot-programs-tote-black,Pilot Programs Tote Bag - Black,Pilot Programs Tote Bag in black. Available in Black and Cream.,Geronimo Records,Tote Bag,tote-bags,event-drops,TRUE,Color,Black,PPTTB-001,15,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/pilot-programs/tote-black.png,Pilot Programs Tote Bag - Black
new-beginnings-tote-blue,New Beginnings Tote Bag - Blue,New Beginnings Tote Bag in blue. Available in Blue and Cream.,Geronimo Records,Tote Bag,tote-bags,event-drops,TRUE,Color,Blue,NBTB-001,15,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/new-beginnings/tote-blue.png,New Beginnings Tote Bag - Blue
phantom-frequencies-tote-black,Phantom Frequencies Tote Bag - Black,Phantom Frequencies Tote Bag in black. Event merch preview product.,Geronimo Records,Tote Bag,tote-bags,event-drops,TRUE,Color,Black,PFTB-001,15,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/phantom-frequencies/tote-black.png,Phantom Frequencies Tote Bag - Black
pilot-programs-keychain-clear,Pilot Programs Keychain - Clear,Pilot Programs Keychain in clear. Additional color options available.,Geronimo Records,Keychain,keychains,event-drops,TRUE,Color,Clear,PPKC-001,5,20,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/pilot-programs/keychain-clear.png,Pilot Programs Keychain - Clear
phantom-frequencies-keychain-red,Phantom Frequencies Keychain - Red,Phantom Frequencies Keychain in red. Additional color options available.,Geronimo Records,Keychain,keychains,event-drops,TRUE,Color,Red,PFKC-001,5,20,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/phantom-frequencies/keychain-red.png,Phantom Frequencies Keychain - Red
new-beginnings-keychain-blue,New Beginnings Keychain - Blue,New Beginnings Keychain in blue. Additional color options available.,Geronimo Records,Keychain,keychains,event-drops,TRUE,Color,Blue,NBKC-001,5,20,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/new-beginnings/keychain-blue.png,New Beginnings Keychain - Blue
phantom-frequencies-tee-black,Phantom Frequencies Tee - Black,Phantom Frequencies Tee in black. Front/back artwork shown on the product preview.,Geronimo Records,Tee,tees,event-drops,TRUE,Color,Black,PFTB-001,20,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/phantom-frequencies/tee-black-front.png,Phantom Frequencies Tee - Black front
phantom-frequencies-tee-white,Phantom Frequencies Tee - White,Phantom Frequencies Tee in white. Front/back artwork shown on the product preview.,Geronimo Records,Tee,tees,event-drops,TRUE,Color,White,PFTW-001,20,10,deny,TRUE,TRUE,https://geronimorecords.netlify.applify.app/assets/images/merch/phantom-frequencies/tee-white-front.png,Phantom Frequencies Tee - White front
